Path,target
Images/PBC_dataset_normal_DIB\basophil\BA_100102.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_101381.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_101611.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_102039.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_102750.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_10387.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_10622.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_107595.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_107876.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_111710.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_112418.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_114542.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_114899.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_115323.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_115777.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_116477.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_119131.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_119883.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_120278.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_120688.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_121453.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_121897.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_1223.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_124389.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_124620.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_124938.jpg,BAS
Images/PBC_dataset_normal_DIB\basophil\BA_126411.jpg,BAS
