Path,target,target_numerique,prediction
Images/PBC_dataset_normal_DIB\eosinophil/EO_821444.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/PMY_181052.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_788923.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_814751.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_239013.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_127149.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\ig/MY_157828.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\basophil/BA_549762.jpg,BA,5,IG
Images/PBC_dataset_normal_DIB\erythroblast/ERB_384647.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\platelet/PLATELET_386366.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_823986.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_512963.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/BNE_118120.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/SNE_157991.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\lymphocyte/LY_374896.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\platelet/PLATELET_843809.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\lymphocyte/LY_314798.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\erythroblast/ERB_5436.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\neutrophil/SNE_7740.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/SNE_242356.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_569320.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MY_950557.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_865250.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/MMY_990391.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_838002.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\neutrophil/SNE_126871.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/SNE_42209.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\basophil/BA_925384.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\ig/MMY_945633.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\lymphocyte/LY_152181.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\eosinophil/EO_843285.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\basophil/BA_879692.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\platelet/PLATELET_365644.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\basophil/BA_305833.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\neutrophil/SNE_570629.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\neutrophil/SNE_599793.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\platelet/PLATELET_475683.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\neutrophil/SNE_889334.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/PMY_880603.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_924343.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\basophil/BA_915476.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\basophil/BA_175579.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\monocyte/MO_499033.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\neutrophil/BNE_34065.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\eosinophil/EO_508897.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\eosinophil/EO_644374.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\platelet/PLATELET_277312.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\erythroblast/ERB_357853.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\erythroblast/ERB_216040.jpg,ERB,0,LY
Images/PBC_dataset_normal_DIB\neutrophil/SNE_565642.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\erythroblast/ERB_103778.jpg,ERB,0,ERB
Images/PBC_dataset_normal_DIB\monocyte/MO_617263.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/IG_206674.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_614304.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\lymphocyte/LY_832617.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\lymphocyte/LY_759072.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\monocyte/MO_525648.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/IG_505197.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\ig/MY_236401.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_71052.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\basophil/BA_107595.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\monocyte/MO_368329.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\monocyte/MO_860538.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\ig/MY_680568.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\monocyte/MO_982427.jpg,MO,6,IG
Images/PBC_dataset_normal_DIB\ig/MY_638678.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\eosinophil/EO_839677.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\neutrophil/SNE_758017.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\ig/PMY_766548.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\platelet/PLATELET_895605.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_165454.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\basophil/BA_284282.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\neutrophil/BNE_990094.jpg,NEUTROPHIL,1,NEUTROPHIL
Images/PBC_dataset_normal_DIB\lymphocyte/LY_188800.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\platelet/PLATELET_94308.jpg,PLATELET,7,PLATELET
Images/PBC_dataset_normal_DIB\eosinophil/EO_974059.jpg,EO,2,EO
Images/PBC_dataset_normal_DIB\ig/MY_891555.jpg,IG,3,IG
Images/PBC_dataset_normal_DIB\lymphocyte/LY_619308.jpg,LY,4,LY
Images/PBC_dataset_normal_DIB\monocyte/MO_351284.jpg,MO,6,MO
Images/PBC_dataset_normal_DIB\basophil/BA_493318.jpg,BA,5,BA
Images/PBC_dataset_normal_DIB\erythroblast/ERB_351768.jpg,ERB,0,ERB
