maskpath,nameLabel,filepath
Images/masques_Unet\lymphocyte/LY_607133_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_607133.jpg
Images/masques_Unet\lymphocyte/LY_153467_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_153467.jpg
Images/masques_Unet\lymphocyte/LY_521923_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_521923.jpg
Images/masques_Unet\lymphocyte/LY_707113_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_707113.jpg
Images/masques_Unet\lymphocyte/LY_921451_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_921451.jpg
Images/masques_Unet\lymphocyte/LY_462086_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_462086.jpg
Images/masques_Unet\lymphocyte/LY_538573_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_538573.jpg
Images/masques_Unet\lymphocyte/LY_155590_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_155590.jpg
Images/masques_Unet\lymphocyte/LY_25363_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_25363.jpg
Images/masques_Unet\lymphocyte/LY_359239_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_359239.jpg
Images/masques_Unet\lymphocyte/LY_722583_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_722583.jpg
Images/masques_Unet\lymphocyte/LY_38716_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_38716.jpg
Images/masques_Unet\lymphocyte/LY_271375_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_271375.jpg
Images/masques_Unet\lymphocyte/LY_54448_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_54448.jpg
Images/masques_Unet\lymphocyte/LY_260701_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_260701.jpg
Images/masques_Unet\lymphocyte/LY_861218_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_861218.jpg
Images/masques_Unet\lymphocyte/LY_137344_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_137344.jpg
Images/masques_Unet\lymphocyte/LY_613672_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_613672.jpg
Images/masques_Unet\lymphocyte/LY_363396_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_363396.jpg
Images/masques_Unet\lymphocyte/LY_579967_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_579967.jpg
Images/masques_Unet\lymphocyte/LY_297929_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_297929.jpg
Images/masques_Unet\lymphocyte/LY_171137_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_171137.jpg
Images/masques_Unet\lymphocyte/LY_775657_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_775657.jpg
Images/masques_Unet\lymphocyte/LY_599020_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_599020.jpg
Images/masques_Unet\lymphocyte/LY_171028_mask.png,LY,Images/PBC_dataset_normal_DIB\lymphocyte/LY_171028.jpg
